example_id                                                                  | status  | run_time        |
./spec/models/fy2015/school_spec.rb[1:2:1]                                  | passed  | 0.0014 seconds  |
./spec/models/fy2015/usac/drt_import_spec.rb[1:1:1]                         | passed  | 0.00768 seconds |
./spec/models/fy2015/usac/drt_import_spec.rb[1:2:1]                         | passed  | 0.00783 seconds |
./spec/models/fy2015/usac/drt_import_spec.rb[1:3:1]                         | passed  | 0.0567 seconds  |
./spec/models/fy2015/usac/drt_import_spec.rb[1:4:1]                         | passed  | 0.00544 seconds |
./spec/models/fy2015/usac/drt_import_spec.rb[1:5:1]                         | passed  | 0.02292 seconds |
./spec/models/fy2015/usac/fy2015_item21_services_and_cost_spec.rb[1:1]      | passed  | 0.01103 seconds |
./spec/models/fy2015/usac/fy2015_item21_services_and_cost_spec.rb[1:2]      | passed  | 0.04631 seconds |
./spec/models/fy2015/usac/fy2015_item21_services_and_cost_spec.rb[1:3]      | passed  | 0.01042 seconds |
./spec/models/other_location_spec.rb[1:1:1]                                 | passed  | 0.05001 seconds |
./spec/models/school_spec.rb[1:1:1]                                         | passed  | 0.04586 seconds |
./spec/models/school_spec.rb[1:2:1]                                         | passed  | 0.00158 seconds |
./spec/models/school_spec.rb[1:3:1]                                         | passed  | 0.0571 seconds  |
./spec/models/tag_label_spec.rb[1:1]                                        | passed  | 0.01507 seconds |
./spec/models/tag_label_spec.rb[1:2]                                        | passed  | 0.0105 seconds  |
./spec/models/tag_label_spec.rb[1:3]                                        | passed  | 0.01105 seconds |
./spec/models/tag_label_spec.rb[1:4]                                        | passed  | 0.01282 seconds |
./spec/models/tag_spec.rb[1:1:1:1]                                          | passed  | 0.03164 seconds |
./spec/models/tag_spec.rb[1:2:1]                                            | passed  | 0.0166 seconds  |
./spec/models/utilities/campus_map_data_spec.rb[1:1]                        | passed  | 0.04356 seconds |
./spec/models/utilities/yabai_notifier_spec.rb[1:1]                         | passed  | 0.00111 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:1:1]                       | passed  | 0.0061 seconds  |
./spec/presenters/consortium_presenter_spec.rb[1:1:2:1]                     | passed  | 0.00207 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:2:1:1]                     | passed  | 0.00204 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:2:2:1]                     | passed  | 0.00179 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:2:3:1]                     | passed  | 0.00247 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:3:1:1]                     | passed  | 0.0018 seconds  |
./spec/presenters/consortium_presenter_spec.rb[1:3:2:1]                     | passed  | 0.00246 seconds |
./spec/presenters/consortium_presenter_spec.rb[1:3:3:1]                     | passed  | 0.00194 seconds |
./spec/presenters/district_presenter_spec.rb[1:1]                           | passed  | 0.00347 seconds |
./spec/presenters/district_presenter_spec.rb[1:2]                           | passed  | 0.00338 seconds |
./spec/presenters/district_presenter_spec.rb[1:3]                           | passed  | 0.00278 seconds |
./spec/presenters/district_presenter_spec.rb[1:4]                           | passed  | 0.00728 seconds |
./spec/presenters/district_presenter_spec.rb[1:5]                           | passed  | 0.00361 seconds |
./spec/presenters/district_presenter_spec.rb[1:6]                           | passed  | 0.00333 seconds |
./spec/presenters/district_presenter_spec.rb[1:7:1]                         | passed  | 0.0052 seconds  |
./spec/presenters/entity_presenter_spec.rb[1:1:1]                           | passed  | 0.0023 seconds  |
./spec/presenters/entity_presenter_spec.rb[1:1:2:1]                         | passed  | 0.00176 seconds |
